date,cactus,succulent,peperomia,peace lily,isPartial
2016-01-31,37,7,0,2,False
2016-02-07,40,7,0,2,False
2016-02-14,41,8,0,2,False
2016-02-21,43,8,0,2,False
2016-02-28,46,9,0,3,False
2016-03-06,48,8,0,2,False
2016-03-13,47,8,0,3,False
2016-03-20,48,9,0,2,False
2016-03-27,52,10,0,2,False
2016-04-03,44,11,0,2,False
2016-04-10,44,11,0,2,False
2016-04-17,44,12,0,2,False
2016-04-24,45,12,0,2,False
2016-05-01,47,13,0,3,False
2016-05-08,46,12,0,3,False
2016-05-15,45,13,1,4,False
2016-05-22,43,12,0,2,False
2016-05-29,42,11,1,3,False
2016-06-05,41,10,0,3,False
2016-06-12,41,11,0,3,False
2016-06-19,41,8,0,3,False
2016-06-26,39,10,0,3,False
2016-07-03,41,11,0,2,False
2016-07-10,39,11,0,2,False
2016-07-17,40,9,0,2,False
2016-07-24,38,10,0,2,False
2016-07-31,37,9,0,2,False
2016-08-07,38,9,0,2,False
2016-08-14,37,10,0,2,False
2016-08-21,42,10,0,2,False
2016-08-28,41,10,0,3,False
2016-09-04,39,9,0,2,False
2016-09-11,41,9,0,2,False
2016-09-18,37,8,0,3,False
2016-09-25,38,8,0,1,False
2016-10-02,38,7,0,2,False
2016-10-09,38,7,0,2,False
2016-10-16,42,7,0,2,False
2016-10-23,42,8,0,2,False
2016-10-30,39,7,0,1,False
2016-11-06,34,6,0,2,False
2016-11-13,39,7,0,2,False
2016-11-20,34,7,0,2,False
2016-11-27,40,7,0,2,False
2016-12-04,42,8,0,1,False
2016-12-11,41,7,0,1,False
2016-12-18,43,7,0,2,False
2016-12-25,54,7,0,2,False
2017-01-01,39,8,0,2,False
2017-01-08,42,8,0,3,False
2017-01-15,38,8,0,2,False
2017-01-22,39,8,0,3,False
2017-01-29,43,9,0,2,False
2017-02-05,42,9,0,2,False
2017-02-12,46,10,0,4,False
2017-02-19,46,9,1,3,False
2017-02-26,47,10,0,2,False
2017-03-05,52,11,0,3,False
2017-03-12,50,11,1,2,False
2017-03-19,50,12,0,3,False
2017-03-26,49,12,0,4,False
2017-04-02,48,13,0,3,False
2017-04-09,50,13,0,3,False
2017-04-16,50,14,0,3,False
2017-04-23,54,17,0,4,False
2017-04-30,50,15,0,2,False
2017-05-07,50,18,0,4,False
2017-05-14,53,15,0,4,False
2017-05-21,48,14,0,3,False
2017-05-28,50,16,1,4,False
2017-06-04,47,15,0,3,False
2017-06-11,44,13,0,3,False
2017-06-18,48,16,0,3,False
2017-06-25,48,14,0,4,False
2017-07-02,45,12,0,3,False
2017-07-09,50,14,0,3,False
2017-07-16,48,14,1,3,False
2017-07-23,46,12,0,3,False
2017-07-30,50,13,0,3,False
2017-08-06,47,14,1,3,False
2017-08-13,46,13,0,2,False
2017-08-20,43,12,0,2,False
2017-08-27,42,10,1,2,False
2017-09-03,45,10,0,2,False
2017-09-10,41,11,1,2,False
2017-09-17,44,12,1,2,False
2017-09-24,42,11,0,2,False
2017-10-01,40,10,0,2,False
2017-10-08,41,10,0,2,False
2017-10-15,43,10,0,2,False
2017-10-22,46,10,0,2,False
2017-10-29,43,9,0,2,False
2017-11-05,46,9,1,2,False
2017-11-12,46,9,1,2,False
2017-11-19,43,8,0,2,False
2017-11-26,49,10,0,2,False
2017-12-03,51,10,1,2,False
2017-12-10,50,11,0,2,False
2017-12-17,50,11,0,2,False
2017-12-24,64,9,0,2,False
2017-12-31,43,9,1,2,False
2018-01-07,44,12,0,2,False
2018-01-14,50,12,1,3,False
2018-01-21,44,11,0,3,False
2018-01-28,43,13,1,3,False
2018-02-04,47,12,1,2,False
2018-02-11,50,13,1,3,False
2018-02-18,54,13,1,2,False
2018-02-25,55,13,1,3,False
2018-03-04,56,14,1,3,False
2018-03-11,59,13,1,3,False
2018-03-18,54,15,1,3,False
2018-03-25,58,16,1,4,False
2018-04-01,58,16,1,3,False
2018-04-08,56,18,1,3,False
2018-04-15,59,16,1,2,False
2018-04-22,61,20,1,3,False
2018-04-29,62,20,1,3,False
2018-05-06,66,22,1,3,False
2018-05-13,59,21,1,3,False
2018-05-20,60,18,1,4,False
2018-05-27,59,18,1,3,False
2018-06-03,75,18,1,4,False
2018-06-10,66,18,1,3,False
2018-06-17,53,18,1,3,False
2018-06-24,59,17,1,3,False
2018-07-01,57,18,1,3,False
2018-07-08,58,18,1,3,False
2018-07-15,61,16,1,3,False
2018-07-22,55,16,1,3,False
2018-07-29,59,17,1,3,False
2018-08-05,61,16,2,3,False
2018-08-12,57,14,1,3,False
2018-08-19,55,17,1,3,False
2018-08-26,53,13,1,3,False
2018-09-02,48,15,1,3,False
2018-09-09,50,12,1,2,False
2018-09-16,54,13,1,3,False
2018-09-23,47,13,1,3,False
2018-09-30,45,12,1,3,False
2018-10-07,47,12,1,2,False
2018-10-14,51,12,0,2,False
2018-10-21,52,14,1,2,False
2018-10-28,45,11,1,2,False
2018-11-04,45,11,0,2,False
2018-11-11,49,11,0,2,False
2018-11-18,50,9,1,3,False
2018-11-25,51,12,1,2,False
2018-12-02,54,12,0,3,False
2018-12-09,54,11,0,2,False
2018-12-16,54,13,1,3,False
2018-12-23,54,12,1,3,False
2018-12-30,51,11,1,4,False
2019-01-06,51,12,1,3,False
2019-01-13,49,12,1,3,False
2019-01-20,49,13,1,4,False
2019-01-27,51,12,1,3,False
2019-02-03,47,14,1,3,False
2019-02-10,57,16,1,4,False
2019-02-17,54,14,1,3,False
2019-02-24,56,14,1,3,False
2019-03-03,60,15,2,3,False
2019-03-10,59,18,2,4,False
2019-03-17,63,17,2,4,False
2019-03-24,63,17,1,5,False
2019-03-31,61,19,1,4,False
2019-04-07,61,20,1,5,False
2019-04-14,61,17,1,4,False
2019-04-21,62,20,1,6,False
2019-04-28,68,20,2,5,False
2019-05-05,67,24,2,5,False
2019-05-12,74,23,1,5,False
2019-05-19,61,20,1,4,False
2019-05-26,62,22,2,5,False
2019-06-02,57,20,2,4,False
2019-06-09,52,23,2,4,False
2019-06-16,59,18,2,4,False
2019-06-23,57,17,1,4,False
2019-06-30,55,19,2,4,False
2019-07-07,54,20,2,4,False
2019-07-14,63,20,2,4,False
2019-07-21,57,20,1,4,False
2019-07-28,54,18,2,4,False
2019-08-04,55,17,2,4,False
2019-08-11,56,17,2,4,False
2019-08-18,54,18,1,5,False
2019-08-25,54,15,2,4,False
2019-09-01,53,15,1,3,False
2019-09-08,54,15,2,4,False
2019-09-15,53,16,2,3,False
2019-09-22,50,14,2,3,False
2019-09-29,53,14,2,3,False
2019-10-06,56,15,2,3,False
2019-10-13,49,15,2,2,False
2019-10-20,50,13,2,4,False
2019-10-27,48,13,2,2,False
2019-11-03,56,13,2,3,False
2019-11-10,61,11,1,3,False
2019-11-17,55,11,1,3,False
2019-11-24,58,10,1,3,False
2019-12-01,55,12,1,2,False
2019-12-08,57,13,1,3,False
2019-12-15,55,11,1,3,False
2019-12-22,60,12,1,4,False
2019-12-29,61,13,2,4,False
2020-01-05,54,14,2,3,False
2020-01-12,54,14,2,3,False
2020-01-19,52,15,2,4,False
2020-01-26,50,15,2,4,False
2020-02-02,51,15,2,4,False
2020-02-09,59,16,2,4,False
2020-02-16,57,17,2,4,False
2020-02-23,64,18,2,4,False
2020-03-01,66,19,3,5,False
2020-03-08,58,15,2,5,False
2020-03-15,47,13,2,4,False
2020-03-22,51,15,2,5,False
2020-03-29,53,20,2,4,False
2020-04-05,56,18,2,5,False
2020-04-12,57,20,2,6,False
2020-04-19,73,26,3,6,False
2020-04-26,72,27,3,7,False
2020-05-03,75,37,4,8,False
2020-05-10,71,38,5,8,False
2020-05-17,75,35,4,9,False
2020-05-24,79,33,4,9,False
2020-05-31,66,29,3,7,False
2020-06-07,64,31,3,8,False
2020-06-14,66,30,4,8,False
2020-06-21,68,29,3,7,False
2020-06-28,64,28,5,7,False
2020-07-05,64,27,4,7,False
2020-07-12,62,27,3,6,False
2020-07-19,66,26,4,6,False
2020-07-26,66,27,4,7,False
2020-08-02,64,24,5,6,False
2020-08-09,66,25,4,6,False
2020-08-16,62,24,3,6,False
2020-08-23,58,23,4,6,False
2020-08-30,65,23,4,5,False
2020-09-06,100,21,4,5,False
2020-09-13,76,20,4,5,False
2020-09-20,62,18,4,4,False
2020-09-27,59,18,3,5,False
2020-10-04,59,19,4,5,False
2020-10-11,52,19,3,4,False
2020-10-18,58,19,3,4,False
2020-10-25,53,17,2,4,False
2020-11-01,44,13,2,4,False
2020-11-08,63,16,3,4,False
2020-11-15,70,15,3,3,False
2020-11-22,65,15,2,5,False
2020-11-29,58,14,2,3,False
2020-12-06,62,15,2,5,False
2020-12-13,60,14,2,4,False
2020-12-20,53,14,3,3,False
2020-12-27,55,15,2,4,False
2021-01-03,48,16,3,5,False
2021-01-10,54,17,4,5,False
2021-01-17,50,18,5,5,False
2021-01-24,53,17,6,9,True
